"","layer","NUMPOINTS","Lines.NR","Lines.ID","Line.NR","coords.x1","coords.x2"
"0",0.44089,"2",1,"0",1,172.848463082019,-34.424807695242
"0.1",0.44089,"2",1,"0",1,172.89825734582,-34.424807695242
"0.2",0.44089,"2",1,"0",1,172.89825734582,-34.474615390484
"0.3",0.44089,"2",1,"0",1,172.848463082019,-34.474615390484
"0.4",0.44089,"2",1,"0",1,172.848463082019,-34.424807695242
"1",0.35539,"0",2,"1",1,172.649286026817,-34.474615390484
"1.1",0.35539,"0",2,"1",1,172.699080290618,-34.474615390484
"1.2",0.35539,"0",2,"1",1,172.699080290618,-34.524423085726
"1.3",0.35539,"0",2,"1",1,172.649286026817,-34.524423085726
"1.4",0.35539,"0",2,"1",1,172.649286026817,-34.474615390484
"2",0.32286,"0",3,"2",1,172.699080290618,-34.474615390484
"2.1",0.32286,"0",3,"2",1,172.748874554418,-34.474615390484
"2.2",0.32286,"0",3,"2",1,172.748874554418,-34.524423085726
"2.3",0.32286,"0",3,"2",1,172.699080290618,-34.524423085726
"2.4",0.32286,"0",3,"2",1,172.699080290618,-34.474615390484
"3",0.37695,"0",4,"3",1,172.748874554418,-34.474615390484
"3.1",0.37695,"0",4,"3",1,172.798668818219,-34.474615390484
"3.2",0.37695,"0",4,"3",1,172.798668818219,-34.524423085726
"3.3",0.37695,"0",4,"3",1,172.748874554418,-34.524423085726
"3.4",0.37695,"0",4,"3",1,172.748874554418,-34.474615390484
"4",0.41847,"2",5,"4",1,172.798668818219,-34.474615390484
"4.1",0.41847,"2",5,"4",1,172.848463082019,-34.474615390484
"4.2",0.41847,"2",5,"4",1,172.848463082019,-34.524423085726
"4.3",0.41847,"2",5,"4",1,172.798668818219,-34.524423085726
"4.4",0.41847,"2",5,"4",1,172.798668818219,-34.474615390484
"5",0.41434,"1",6,"5",1,172.848463082019,-34.474615390484
"5.1",0.41434,"1",6,"5",1,172.89825734582,-34.474615390484
"5.2",0.41434,"1",6,"5",1,172.89825734582,-34.524423085726
"5.3",0.41434,"1",6,"5",1,172.848463082019,-34.524423085726
"5.4",0.41434,"1",6,"5",1,172.848463082019,-34.474615390484
"6",0.43485,"27",7,"6",1,172.89825734582,-34.474615390484
"6.1",0.43485,"27",7,"6",1,172.94805160962,-34.474615390484
"6.2",0.43485,"27",7,"6",1,172.94805160962,-34.524423085726
"6.3",0.43485,"27",7,"6",1,172.89825734582,-34.524423085726
"6.4",0.43485,"27",7,"6",1,172.89825734582,-34.474615390484
"7",0.46036,"0",8,"7",1,172.94805160962,-34.474615390484
"7.1",0.46036,"0",8,"7",1,172.997845873421,-34.474615390484
"7.2",0.46036,"0",8,"7",1,172.997845873421,-34.524423085726
"7.3",0.46036,"0",8,"7",1,172.94805160962,-34.524423085726
"7.4",0.46036,"0",8,"7",1,172.94805160962,-34.474615390484
"8",0.36988,"0",9,"8",1,172.748874554418,-34.524423085726
"8.1",0.36988,"0",9,"8",1,172.798668818219,-34.524423085726
"8.2",0.36988,"0",9,"8",1,172.798668818219,-34.574230780968
"8.3",0.36988,"0",9,"8",1,172.748874554418,-34.574230780968
"8.4",0.36988,"0",9,"8",1,172.748874554418,-34.524423085726
"9",0.4341,"1",10,"9",1,172.798668818219,-34.524423085726
"9.1",0.4341,"1",10,"9",1,172.848463082019,-34.524423085726
"9.2",0.4341,"1",10,"9",1,172.848463082019,-34.574230780968
"9.3",0.4341,"1",10,"9",1,172.798668818219,-34.574230780968
"9.4",0.4341,"1",10,"9",1,172.798668818219,-34.524423085726
"10",0.36114,"0",11,"10",1,172.798668818219,-34.574230780968
"10.1",0.36114,"0",11,"10",1,172.848463082019,-34.574230780968
"10.2",0.36114,"0",11,"10",1,172.848463082019,-34.62403847621
"10.3",0.36114,"0",11,"10",1,172.798668818219,-34.62403847621
"10.4",0.36114,"0",11,"10",1,172.798668818219,-34.574230780968
"11",0.34011,"0",12,"11",1,172.848463082019,-34.574230780968
"11.1",0.34011,"0",12,"11",1,172.89825734582,-34.574230780968
"11.2",0.34011,"0",12,"11",1,172.89825734582,-34.62403847621
"11.3",0.34011,"0",12,"11",1,172.848463082019,-34.62403847621
"11.4",0.34011,"0",12,"11",1,172.848463082019,-34.574230780968
"12",0.35136,"0",13,"12",1,172.848463082019,-34.62403847621
"12.1",0.35136,"0",13,"12",1,172.89825734582,-34.62403847621
"12.2",0.35136,"0",13,"12",1,172.89825734582,-34.673846171452
"12.3",0.35136,"0",13,"12",1,172.848463082019,-34.673846171452
"12.4",0.35136,"0",13,"12",1,172.848463082019,-34.62403847621
"13",0.36701,"8",14,"13",1,172.89825734582,-34.62403847621
"13.1",0.36701,"8",14,"13",1,172.94805160962,-34.62403847621
"13.2",0.36701,"8",14,"13",1,172.94805160962,-34.673846171452
"13.3",0.36701,"8",14,"13",1,172.89825734582,-34.673846171452
"13.4",0.36701,"8",14,"13",1,172.89825734582,-34.62403847621
"14",0.37761,"74",15,"14",1,172.94805160962,-34.62403847621
"14.1",0.37761,"74",15,"14",1,172.997845873421,-34.62403847621
"14.2",0.37761,"74",15,"14",1,172.997845873421,-34.673846171452
"14.3",0.37761,"74",15,"14",1,172.94805160962,-34.673846171452
"14.4",0.37761,"74",15,"14",1,172.94805160962,-34.62403847621
"15",0.28328,"0",16,"15",1,172.89825734582,-34.673846171452
"15.1",0.28328,"0",16,"15",1,172.94805160962,-34.673846171452
"15.2",0.28328,"0",16,"15",1,172.94805160962,-34.723653866695
"15.3",0.28328,"0",16,"15",1,172.89825734582,-34.723653866695
"15.4",0.28328,"0",16,"15",1,172.89825734582,-34.673846171452
"16",0.31013,"1",17,"16",1,172.94805160962,-34.673846171452
"16.1",0.31013,"1",17,"16",1,172.997845873421,-34.673846171452
"16.2",0.31013,"1",17,"16",1,172.997845873421,-34.723653866695
"16.3",0.31013,"1",17,"16",1,172.94805160962,-34.723653866695
"16.4",0.31013,"1",17,"16",1,172.94805160962,-34.673846171452
"17",0.30175,"6",18,"17",1,172.997845873421,-34.673846171452
"17.1",0.30175,"6",18,"17",1,173.047640137221,-34.673846171452
"17.2",0.30175,"6",18,"17",1,173.047640137221,-34.723653866695
"17.3",0.30175,"6",18,"17",1,172.997845873421,-34.723653866695
"17.4",0.30175,"6",18,"17",1,172.997845873421,-34.673846171452
"18",0.28377,"0",19,"18",1,172.94805160962,-34.723653866695
"18.1",0.28377,"0",19,"18",1,172.997845873421,-34.723653866695
"18.2",0.28377,"0",19,"18",1,172.997845873421,-34.773461561937
"18.3",0.28377,"0",19,"18",1,172.94805160962,-34.773461561937
"18.4",0.28377,"0",19,"18",1,172.94805160962,-34.723653866695
"19",0.27126,"35",20,"19",1,172.997845873421,-34.723653866695
"19.1",0.27126,"35",20,"19",1,173.047640137221,-34.723653866695
"19.2",0.27126,"35",20,"19",1,173.047640137221,-34.773461561937
"19.3",0.27126,"35",20,"19",1,172.997845873421,-34.773461561937
"19.4",0.27126,"35",20,"19",1,172.997845873421,-34.723653866695
"20",0.25487,"41",21,"20",1,173.047640137221,-34.723653866695
"20.1",0.25487,"41",21,"20",1,173.097434401022,-34.723653866695
"20.2",0.25487,"41",21,"20",1,173.097434401022,-34.773461561937
"20.3",0.25487,"41",21,"20",1,173.047640137221,-34.773461561937
"20.4",0.25487,"41",21,"20",1,173.047640137221,-34.723653866695
"21",0.10115,"0",22,"21",1,172.997845873421,-34.773461561937
"21.1",0.10115,"0",22,"21",1,173.047640137221,-34.773461561937
"21.2",0.10115,"0",22,"21",1,173.047640137221,-34.823269257179
"21.3",0.10115,"0",22,"21",1,172.997845873421,-34.823269257179
"21.4",0.10115,"0",22,"21",1,172.997845873421,-34.773461561937
"22",0.1053,"13",23,"22",1,173.047640137221,-34.773461561937
"22.1",0.1053,"13",23,"22",1,173.097434401022,-34.773461561937
"22.2",0.1053,"13",23,"22",1,173.097434401022,-34.823269257179
"22.3",0.1053,"13",23,"22",1,173.047640137221,-34.823269257179
"22.4",0.1053,"13",23,"22",1,173.047640137221,-34.773461561937
"23",0.10981,"204",24,"23",1,173.097434401022,-34.773461561937
"23.1",0.10981,"204",24,"23",1,173.147228664822,-34.773461561937
"23.2",0.10981,"204",24,"23",1,173.147228664822,-34.823269257179
"23.3",0.10981,"204",24,"23",1,173.097434401022,-34.823269257179
"23.4",0.10981,"204",24,"23",1,173.097434401022,-34.773461561937
"24",0.12069,"0",25,"24",1,172.997845873421,-34.823269257179
"24.1",0.12069,"0",25,"24",1,173.047640137221,-34.823269257179
"24.2",0.12069,"0",25,"24",1,173.047640137221,-34.873076952421
"24.3",0.12069,"0",25,"24",1,172.997845873421,-34.873076952421
"24.4",0.12069,"0",25,"24",1,172.997845873421,-34.823269257179
"25",0.13871,"0",26,"25",1,173.047640137221,-34.823269257179
"25.1",0.13871,"0",26,"25",1,173.097434401022,-34.823269257179
"25.2",0.13871,"0",26,"25",1,173.097434401022,-34.873076952421
"25.3",0.13871,"0",26,"25",1,173.047640137221,-34.873076952421
"25.4",0.13871,"0",26,"25",1,173.047640137221,-34.823269257179
"26",0.14851,"131",27,"26",1,173.097434401022,-34.823269257179
"26.1",0.14851,"131",27,"26",1,173.147228664822,-34.823269257179
"26.2",0.14851,"131",27,"26",1,173.147228664822,-34.873076952421
"26.3",0.14851,"131",27,"26",1,173.097434401022,-34.873076952421
"26.4",0.14851,"131",27,"26",1,173.097434401022,-34.823269257179
"27",0.06722,"1",28,"27",1,173.047640137221,-34.873076952421
"27.1",0.06722,"1",28,"27",1,173.097434401022,-34.873076952421
"27.2",0.06722,"1",28,"27",1,173.097434401022,-34.922884647663
"27.3",0.06722,"1",28,"27",1,173.047640137221,-34.922884647663
"27.4",0.06722,"1",28,"27",1,173.047640137221,-34.873076952421
"28",0.11147,"3",29,"28",1,173.097434401022,-34.873076952421
"28.1",0.11147,"3",29,"28",1,173.147228664822,-34.873076952421
"28.2",0.11147,"3",29,"28",1,173.147228664822,-34.922884647663
"28.3",0.11147,"3",29,"28",1,173.097434401022,-34.922884647663
"28.4",0.11147,"3",29,"28",1,173.097434401022,-34.873076952421
"29",0.14124,"32",30,"29",1,173.147228664822,-34.873076952421
"29.1",0.14124,"32",30,"29",1,173.197022928623,-34.873076952421
"29.2",0.14124,"32",30,"29",1,173.197022928623,-34.922884647663
"29.3",0.14124,"32",30,"29",1,173.147228664822,-34.922884647663
"29.4",0.14124,"32",30,"29",1,173.147228664822,-34.873076952421
"30",0.28329,"24",31,"30",1,173.296611456223,-34.873076952421
"30.1",0.28329,"24",31,"30",1,173.346405720024,-34.873076952421
"30.2",0.28329,"24",31,"30",1,173.346405720024,-34.922884647663
"30.3",0.28329,"24",31,"30",1,173.296611456223,-34.922884647663
"30.4",0.28329,"24",31,"30",1,173.296611456223,-34.873076952421
"31",0.32208,"393",32,"31",1,173.346405720024,-34.873076952421
"31.1",0.32208,"393",32,"31",1,173.396199983824,-34.873076952421
"31.2",0.32208,"393",32,"31",1,173.396199983824,-34.922884647663
"31.3",0.32208,"393",32,"31",1,173.346405720024,-34.922884647663
"31.4",0.32208,"393",32,"31",1,173.346405720024,-34.873076952421
"32",0.16564,"0",33,"32",1,173.097434401022,-34.922884647663
"32.1",0.16564,"0",33,"32",1,173.147228664822,-34.922884647663
"32.2",0.16564,"0",33,"32",1,173.147228664822,-34.972692342905
"32.3",0.16564,"0",33,"32",1,173.097434401022,-34.972692342905
"32.4",0.16564,"0",33,"32",1,173.097434401022,-34.922884647663
"33",0.20166,"32",34,"33",1,173.147228664822,-34.922884647663
"33.1",0.20166,"32",34,"33",1,173.197022928623,-34.922884647663
"33.2",0.20166,"32",34,"33",1,173.197022928623,-34.972692342905
"33.3",0.20166,"32",34,"33",1,173.147228664822,-34.972692342905
"33.4",0.20166,"32",34,"33",1,173.147228664822,-34.922884647663
"34",0.22714,"26",35,"34",1,173.197022928623,-34.922884647663
"34.1",0.22714,"26",35,"34",1,173.246817192423,-34.922884647663
"34.2",0.22714,"26",35,"34",1,173.246817192423,-34.972692342905
"34.3",0.22714,"26",35,"34",1,173.197022928623,-34.972692342905
"34.4",0.22714,"26",35,"34",1,173.197022928623,-34.922884647663
"35",0.15964,"10",36,"35",1,173.147228664822,-34.972692342905
"35.1",0.15964,"10",36,"35",1,173.197022928623,-34.972692342905
"35.2",0.15964,"10",36,"35",1,173.197022928623,-35.022500038147
"35.3",0.15964,"10",36,"35",1,173.147228664822,-35.022500038147
"35.4",0.15964,"10",36,"35",1,173.147228664822,-34.972692342905
"36",0.3525,"43",37,"36",1,173.346405720024,-34.972692342905
"36.1",0.3525,"43",37,"36",1,173.396199983824,-34.972692342905
"36.2",0.3525,"43",37,"36",1,173.396199983824,-35.022500038147
"36.3",0.3525,"43",37,"36",1,173.346405720024,-35.022500038147
"36.4",0.3525,"43",37,"36",1,173.346405720024,-34.972692342905
"37",0.41402,"114",38,"37",1,173.545582775226,-34.972692342905
"37.1",0.41402,"114",38,"37",1,173.595377039026,-34.972692342905
"37.2",0.41402,"114",38,"37",1,173.595377039026,-35.022500038147
"37.3",0.41402,"114",38,"37",1,173.545582775226,-35.022500038147
"37.4",0.41402,"114",38,"37",1,173.545582775226,-34.972692342905
"38",0.47229,"44",39,"38",1,173.595377039026,-34.972692342905
"38.1",0.47229,"44",39,"38",1,173.645171302827,-34.972692342905
"38.2",0.47229,"44",39,"38",1,173.645171302827,-35.022500038147
"38.3",0.47229,"44",39,"38",1,173.595377039026,-35.022500038147
"38.4",0.47229,"44",39,"38",1,173.595377039026,-34.972692342905
"39",0.50991,"13",40,"39",1,173.645171302827,-34.972692342905
"39.1",0.50991,"13",40,"39",1,173.694965566627,-34.972692342905
"39.2",0.50991,"13",40,"39",1,173.694965566627,-35.022500038147
"39.3",0.50991,"13",40,"39",1,173.645171302827,-35.022500038147
"39.4",0.50991,"13",40,"39",1,173.645171302827,-34.972692342905
"40",0.21616,"105",41,"40",1,173.147228664822,-35.022500038147
"40.1",0.21616,"105",41,"40",1,173.197022928623,-35.022500038147
"40.2",0.21616,"105",41,"40",1,173.197022928623,-35.072307733389
"40.3",0.21616,"105",41,"40",1,173.147228664822,-35.072307733389
"40.4",0.21616,"105",41,"40",1,173.147228664822,-35.022500038147
"41",0.25465,"90",42,"41",1,173.197022928623,-35.022500038147
"41.1",0.25465,"90",42,"41",1,173.246817192423,-35.022500038147
"41.2",0.25465,"90",42,"41",1,173.246817192423,-35.072307733389
"41.3",0.25465,"90",42,"41",1,173.197022928623,-35.072307733389
"41.4",0.25465,"90",42,"41",1,173.197022928623,-35.022500038147
"42",0.29646,"296",43,"42",1,173.246817192423,-35.022500038147
"42.1",0.29646,"296",43,"42",1,173.296611456223,-35.022500038147
"42.2",0.29646,"296",43,"42",1,173.296611456223,-35.072307733389
"42.3",0.29646,"296",43,"42",1,173.246817192423,-35.072307733389
"42.4",0.29646,"296",43,"42",1,173.246817192423,-35.022500038147
"43",0.35455,"109",44,"43",1,173.296611456223,-35.022500038147
"43.1",0.35455,"109",44,"43",1,173.346405720024,-35.022500038147
"43.2",0.35455,"109",44,"43",1,173.346405720024,-35.072307733389
"43.3",0.35455,"109",44,"43",1,173.296611456223,-35.072307733389
"43.4",0.35455,"109",44,"43",1,173.296611456223,-35.022500038147
"44",0.38686,"39",45,"44",1,173.346405720024,-35.022500038147
"44.1",0.38686,"39",45,"44",1,173.396199983824,-35.022500038147
"44.2",0.38686,"39",45,"44",1,173.396199983824,-35.072307733389
"44.3",0.38686,"39",45,"44",1,173.346405720024,-35.072307733389
"44.4",0.38686,"39",45,"44",1,173.346405720024,-35.022500038147
"45",0.418,"39",46,"45",1,173.396199983824,-35.022500038147
"45.1",0.418,"39",46,"45",1,173.445994247625,-35.022500038147
"45.2",0.418,"39",46,"45",1,173.445994247625,-35.072307733389
"45.3",0.418,"39",46,"45",1,173.396199983824,-35.072307733389
"45.4",0.418,"39",46,"45",1,173.396199983824,-35.022500038147
"46",0.448,"50",47,"46",1,173.495788511425,-35.022500038147
"46.1",0.448,"50",47,"46",1,173.545582775226,-35.022500038147
"46.2",0.448,"50",47,"46",1,173.545582775226,-35.072307733389
"46.3",0.448,"50",47,"46",1,173.495788511425,-35.072307733389
"46.4",0.448,"50",47,"46",1,173.495788511425,-35.022500038147
"47",0.43484,"22",48,"47",1,173.545582775226,-35.022500038147
"47.1",0.43484,"22",48,"47",1,173.595377039026,-35.022500038147
"47.2",0.43484,"22",48,"47",1,173.595377039026,-35.072307733389
"47.3",0.43484,"22",48,"47",1,173.545582775226,-35.072307733389
"47.4",0.43484,"22",48,"47",1,173.545582775226,-35.022500038147
"48",0.49026,"10",49,"48",1,173.595377039026,-35.022500038147
"48.1",0.49026,"10",49,"48",1,173.645171302827,-35.022500038147
"48.2",0.49026,"10",49,"48",1,173.645171302827,-35.072307733389
"48.3",0.49026,"10",49,"48",1,173.595377039026,-35.072307733389
"48.4",0.49026,"10",49,"48",1,173.595377039026,-35.022500038147
"49",0.50291,"51",50,"49",1,173.645171302827,-35.022500038147
"49.1",0.50291,"51",50,"49",1,173.694965566627,-35.022500038147
"49.2",0.50291,"51",50,"49",1,173.694965566627,-35.072307733389
"49.3",0.50291,"51",50,"49",1,173.645171302827,-35.072307733389
"49.4",0.50291,"51",50,"49",1,173.645171302827,-35.022500038147
"50",0.57256,"163",51,"50",1,173.694965566627,-35.022500038147
"50.1",0.57256,"163",51,"50",1,173.744759830428,-35.022500038147
"50.2",0.57256,"163",51,"50",1,173.744759830428,-35.072307733389
"50.3",0.57256,"163",51,"50",1,173.694965566627,-35.072307733389
"50.4",0.57256,"163",51,"50",1,173.694965566627,-35.022500038147
"51",0.52927,"124",52,"51",1,173.744759830428,-35.022500038147
"51.1",0.52927,"124",52,"51",1,173.794554094228,-35.022500038147
"51.2",0.52927,"124",52,"51",1,173.794554094228,-35.072307733389
"51.3",0.52927,"124",52,"51",1,173.744759830428,-35.072307733389
"51.4",0.52927,"124",52,"51",1,173.744759830428,-35.022500038147
"52",0.56332,"35",53,"52",1,173.794554094228,-35.022500038147
"52.1",0.56332,"35",53,"52",1,173.844348358029,-35.022500038147
"52.2",0.56332,"35",53,"52",1,173.844348358029,-35.072307733389
"52.3",0.56332,"35",53,"52",1,173.794554094228,-35.072307733389
"52.4",0.56332,"35",53,"52",1,173.794554094228,-35.022500038147
"53",0.6316,"30",54,"53",1,173.844348358029,-35.022500038147
"53.1",0.6316,"30",54,"53",1,173.894142621829,-35.022500038147
"53.2",0.6316,"30",54,"53",1,173.894142621829,-35.072307733389
"53.3",0.6316,"30",54,"53",1,173.844348358029,-35.072307733389
"53.4",0.6316,"30",54,"53",1,173.844348358029,-35.022500038147
"54",0.20904,"44",55,"54",1,173.197022928623,-35.072307733389
"54.1",0.20904,"44",55,"54",1,173.246817192423,-35.072307733389
"54.2",0.20904,"44",55,"54",1,173.246817192423,-35.122115428631
"54.3",0.20904,"44",55,"54",1,173.197022928623,-35.122115428631
"54.4",0.20904,"44",55,"54",1,173.197022928623,-35.072307733389
"55",0.29128,"1857",56,"55",1,173.246817192423,-35.072307733389
"55.1",0.29128,"1857",56,"55",1,173.296611456223,-35.072307733389
"55.2",0.29128,"1857",56,"55",1,173.296611456223,-35.122115428631
"55.3",0.29128,"1857",56,"55",1,173.246817192423,-35.122115428631
"55.4",0.29128,"1857",56,"55",1,173.246817192423,-35.072307733389
"56",0.34546,"70",57,"56",1,173.296611456223,-35.072307733389
"56.1",0.34546,"70",57,"56",1,173.346405720024,-35.072307733389
"56.2",0.34546,"70",57,"56",1,173.346405720024,-35.122115428631
"56.3",0.34546,"70",57,"56",1,173.296611456223,-35.122115428631
"56.4",0.34546,"70",57,"56",1,173.296611456223,-35.072307733389
"57",0.37694,"56",58,"57",1,173.346405720024,-35.072307733389
"57.1",0.37694,"56",58,"57",1,173.396199983824,-35.072307733389
"57.2",0.37694,"56",58,"57",1,173.396199983824,-35.122115428631
"57.3",0.37694,"56",58,"57",1,173.346405720024,-35.122115428631
"57.4",0.37694,"56",58,"57",1,173.346405720024,-35.072307733389
"58",0.45471,"47",59,"58",1,173.396199983824,-35.072307733389
"58.1",0.45471,"47",59,"58",1,173.445994247625,-35.072307733389
"58.2",0.45471,"47",59,"58",1,173.445994247625,-35.122115428631
"58.3",0.45471,"47",59,"58",1,173.396199983824,-35.122115428631
"58.4",0.45471,"47",59,"58",1,173.396199983824,-35.072307733389
"59",0.45903,"54",60,"59",1,173.445994247625,-35.072307733389
"59.1",0.45903,"54",60,"59",1,173.495788511425,-35.072307733389
"59.2",0.45903,"54",60,"59",1,173.495788511425,-35.122115428631
"59.3",0.45903,"54",60,"59",1,173.445994247625,-35.122115428631
"59.4",0.45903,"54",60,"59",1,173.445994247625,-35.072307733389
"60",0.50517,"55",61,"60",1,173.495788511425,-35.072307733389
"60.1",0.50517,"55",61,"60",1,173.545582775226,-35.072307733389
"60.2",0.50517,"55",61,"60",1,173.545582775226,-35.122115428631
"60.3",0.50517,"55",61,"60",1,173.495788511425,-35.122115428631
"60.4",0.50517,"55",61,"60",1,173.495788511425,-35.072307733389
"61",0.56765,"24",62,"61",1,173.545582775226,-35.072307733389
"61.1",0.56765,"24",62,"61",1,173.595377039026,-35.072307733389
"61.2",0.56765,"24",62,"61",1,173.595377039026,-35.122115428631
"61.3",0.56765,"24",62,"61",1,173.545582775226,-35.122115428631
"61.4",0.56765,"24",62,"61",1,173.545582775226,-35.072307733389
"62",0.58916,"29",63,"62",1,173.595377039026,-35.072307733389
"62.1",0.58916,"29",63,"62",1,173.645171302827,-35.072307733389
"62.2",0.58916,"29",63,"62",1,173.645171302827,-35.122115428631
"62.3",0.58916,"29",63,"62",1,173.595377039026,-35.122115428631
"62.4",0.58916,"29",63,"62",1,173.595377039026,-35.072307733389
"63",0.60079,"12",64,"63",1,173.645171302827,-35.072307733389
"63.1",0.60079,"12",64,"63",1,173.694965566627,-35.072307733389
"63.2",0.60079,"12",64,"63",1,173.694965566627,-35.122115428631
"63.3",0.60079,"12",64,"63",1,173.645171302827,-35.122115428631
"63.4",0.60079,"12",64,"63",1,173.645171302827,-35.072307733389
"64",0.6193,"179",65,"64",1,173.744759830428,-35.072307733389
"64.1",0.6193,"179",65,"64",1,173.794554094228,-35.072307733389
"64.2",0.6193,"179",65,"64",1,173.794554094228,-35.122115428631
"64.3",0.6193,"179",65,"64",1,173.744759830428,-35.122115428631
"64.4",0.6193,"179",65,"64",1,173.744759830428,-35.072307733389
"65",0.65489,"41",66,"65",1,173.794554094228,-35.072307733389
"65.1",0.65489,"41",66,"65",1,173.844348358029,-35.072307733389
"65.2",0.65489,"41",66,"65",1,173.844348358029,-35.122115428631
"65.3",0.65489,"41",66,"65",1,173.794554094228,-35.122115428631
"65.4",0.65489,"41",66,"65",1,173.794554094228,-35.072307733389
"66",0.69082,"28",67,"66",1,173.844348358029,-35.072307733389
"66.1",0.69082,"28",67,"66",1,173.894142621829,-35.072307733389
"66.2",0.69082,"28",67,"66",1,173.894142621829,-35.122115428631
"66.3",0.69082,"28",67,"66",1,173.844348358029,-35.122115428631
"66.4",0.69082,"28",67,"66",1,173.844348358029,-35.072307733389
"67",0.70684,"44",68,"67",1,173.894142621829,-35.072307733389
"67.1",0.70684,"44",68,"67",1,173.94393688563,-35.072307733389
"67.2",0.70684,"44",68,"67",1,173.94393688563,-35.122115428631
"67.3",0.70684,"44",68,"67",1,173.894142621829,-35.122115428631
"67.4",0.70684,"44",68,"67",1,173.894142621829,-35.072307733389
"68",0.24252,"313",69,"68",1,173.147228664822,-35.122115428631
"68.1",0.24252,"313",69,"68",1,173.197022928623,-35.122115428631
"68.2",0.24252,"313",69,"68",1,173.197022928623,-35.171923123873
"68.3",0.24252,"313",69,"68",1,173.147228664822,-35.171923123873
"68.4",0.24252,"313",69,"68",1,173.147228664822,-35.122115428631
"69",0.30353,"89",70,"69",1,173.197022928623,-35.122115428631
"69.1",0.30353,"89",70,"69",1,173.246817192423,-35.122115428631
"69.2",0.30353,"89",70,"69",1,173.246817192423,-35.171923123873
"69.3",0.30353,"89",70,"69",1,173.197022928623,-35.171923123873
"69.4",0.30353,"89",70,"69",1,173.197022928623,-35.122115428631
"70",0.3738,"222",71,"70",1,173.246817192423,-35.122115428631
"70.1",0.3738,"222",71,"70",1,173.296611456223,-35.122115428631
"70.2",0.3738,"222",71,"70",1,173.296611456223,-35.171923123873
"70.3",0.3738,"222",71,"70",1,173.246817192423,-35.171923123873
"70.4",0.3738,"222",71,"70",1,173.246817192423,-35.122115428631
"71",0.4333,"79",72,"71",1,173.296611456223,-35.122115428631
"71.1",0.4333,"79",72,"71",1,173.346405720024,-35.122115428631
"71.2",0.4333,"79",72,"71",1,173.346405720024,-35.171923123873
"71.3",0.4333,"79",72,"71",1,173.296611456223,-35.171923123873
"71.4",0.4333,"79",72,"71",1,173.296611456223,-35.122115428631
"72",0.51711,"111",73,"72",1,173.346405720024,-35.122115428631
"72.1",0.51711,"111",73,"72",1,173.396199983824,-35.122115428631
"72.2",0.51711,"111",73,"72",1,173.396199983824,-35.171923123873
"72.3",0.51711,"111",73,"72",1,173.346405720024,-35.171923123873
"72.4",0.51711,"111",73,"72",1,173.346405720024,-35.122115428631
"73",0.5514,"60",74,"73",1,173.396199983824,-35.122115428631
"73.1",0.5514,"60",74,"73",1,173.445994247625,-35.122115428631
"73.2",0.5514,"60",74,"73",1,173.445994247625,-35.171923123873
"73.3",0.5514,"60",74,"73",1,173.396199983824,-35.171923123873
"73.4",0.5514,"60",74,"73",1,173.396199983824,-35.122115428631
"74",0.55973,"24",75,"74",1,173.445994247625,-35.122115428631
"74.1",0.55973,"24",75,"74",1,173.495788511425,-35.122115428631
"74.2",0.55973,"24",75,"74",1,173.495788511425,-35.171923123873
"74.3",0.55973,"24",75,"74",1,173.445994247625,-35.171923123873
"74.4",0.55973,"24",75,"74",1,173.445994247625,-35.122115428631
"75",0.5477,"21",76,"75",1,173.495788511425,-35.122115428631
"75.1",0.5477,"21",76,"75",1,173.545582775226,-35.122115428631
"75.2",0.5477,"21",76,"75",1,173.545582775226,-35.171923123873
"75.3",0.5477,"21",76,"75",1,173.495788511425,-35.171923123873
"75.4",0.5477,"21",76,"75",1,173.495788511425,-35.122115428631
"76",0.60604,"12",77,"76",1,173.545582775226,-35.122115428631
"76.1",0.60604,"12",77,"76",1,173.595377039026,-35.122115428631
"76.2",0.60604,"12",77,"76",1,173.595377039026,-35.171923123873
"76.3",0.60604,"12",77,"76",1,173.545582775226,-35.171923123873
"76.4",0.60604,"12",77,"76",1,173.545582775226,-35.122115428631
"77",0.60953,"2",78,"77",1,173.595377039026,-35.122115428631
"77.1",0.60953,"2",78,"77",1,173.645171302827,-35.122115428631
"77.2",0.60953,"2",78,"77",1,173.645171302827,-35.171923123873
"77.3",0.60953,"2",78,"77",1,173.595377039026,-35.171923123873
"77.4",0.60953,"2",78,"77",1,173.595377039026,-35.122115428631
"78",0.60623,"6",79,"78",1,173.645171302827,-35.122115428631
"78.1",0.60623,"6",79,"78",1,173.694965566627,-35.122115428631
"78.2",0.60623,"6",79,"78",1,173.694965566627,-35.171923123873
"78.3",0.60623,"6",79,"78",1,173.645171302827,-35.171923123873
"78.4",0.60623,"6",79,"78",1,173.645171302827,-35.122115428631
"79",0.64253,"38",80,"79",1,173.694965566627,-35.122115428631
"79.1",0.64253,"38",80,"79",1,173.744759830428,-35.122115428631
"79.2",0.64253,"38",80,"79",1,173.744759830428,-35.171923123873
"79.3",0.64253,"38",80,"79",1,173.694965566627,-35.171923123873
"79.4",0.64253,"38",80,"79",1,173.694965566627,-35.122115428631
"80",0.71188,"26",81,"80",1,173.744759830428,-35.122115428631
"80.1",0.71188,"26",81,"80",1,173.794554094228,-35.122115428631
"80.2",0.71188,"26",81,"80",1,173.794554094228,-35.171923123873
